REF_AREA,Reference area,TIME_PERIOD,productivity,emissions,renewable_supply,sustainability_category,country_pattern,emissions_scaled,cluster
ALB,Albania,2020,10.88,3.39,26.48,Low,Green Leaders,-0.24501518917426124,0
DZA,Algeria,2020,4.21,134.52,0.1,Very Low,Industrial Giants,1.203534935100801,0
AGO,Angola,2020,11.79,15.29,7.89,Very Low,Green Leaders,-0.11355979011322839,0
ARG,Argentina,2020,5.02,149.02,5.36,Very Low,Industrial Giants,1.363711681855841,0
ARM,Armenia,2020,5.24,6.33,4.99,Very Low,Industrial Giants,-0.21253797293565313,0
AUS,Australia,2020,3.43,369.04,4.41,Very Low,Emerging Polluters,3.7942004971002485,0
AUT,Austria,2020,7.61,57.37,17.19,Very Low,Developing Sustainers,0.35128417564208775,0
AZE,Azerbaijan,2020,4.4,31.96,0.91,Very Low,Industrial Giants,0.07058823529411765,0
BHR,Bahrain,2020,2.1,32.12,0.0,Very Low,Emerging Polluters,0.07235570284451805,0
BGD,Bangladesh,2020,8.95,85.63,0.25,Very Low,Developing Sustainers,0.6634631317315658,0
BLR,Belarus,2020,3.39,52.5,0.47,Very Low,Emerging Polluters,0.2974868820767744,0
BEL,Belgium,2020,6.4,82.55,5.76,Very Low,Developing Sustainers,0.6294393813863572,0
BEN,Benin,2020,5.26,7.61,0.01,Very Low,Industrial Giants,-0.1983982325324496,0
BOL,Bolivia,2020,4.88,17.05,4.16,Very Low,Industrial Giants,-0.09411764705882351,0
BIH,Bosnia and Herzegovina,2020,2.24,20.52,5.95,Very Low,Emerging Polluters,-0.05578569455951395,0
BWA,Botswana,2020,5.92,5.76,0.08,Very Low,Industrial Giants,-0.2188345760839547,0
BRA,Brazil,2020,7.54,386.01,21.66,Low,Developing Sustainers,3.9816625241645953,0
BRN,Brunei Darussalam,2020,2.99,9.19,0.0,Very Low,Emerging Polluters,-0.18094449047224526,0
BGR,Bulgaria,2020,4.34,33.04,4.74,Very Low,Industrial Giants,0.08251864125932061,0
KHM,Cambodia,2020,4.96,13.31,4.41,Very Low,Industrial Giants,-0.13543220104943385,0
CMR,Cameroon,2020,13.46,6.91,4.64,Very Low,Green Leaders,-0.2061309030654515,0
CAN,Canada,2020,3.32,497.89,13.77,Very Low,Emerging Polluters,5.217564208782104,0
CHL,Chile,2020,4.9,83.86,8.93,Very Low,Industrial Giants,0.6439105219552609,0
CHN,China (People’s Republic of),2020,2.39,10053.32,6.6,Very Low,Emerging Polluters,110.77326705330019,2
COL,Colombia,2020,8.91,71.16,12.51,Very Low,Developing Sustainers,0.5036177851422259,0
COG,Congo,2020,5.35,3.59,2.37,Very Low,Industrial Giants,-0.24280585473626068,0
CRI,Costa Rica,2020,14.11,6.6,44.59,Medium,Green Leaders,-0.20955537144435235,1
HRV,Croatia,2020,7.16,14.41,10.52,Very Low,Developing Sustainers,-0.12328086164043081,0
CUW,Curaçao,2020,1.43,2.02,2.56,Very Low,Emerging Polluters,-0.260149130074565,0
CYP,Cyprus,2020,5.52,5.89,9.0,Very Low,Industrial Giants,-0.21739850869925434,0
CZE,Czechia,2020,4.53,87.25,3.79,Very Low,Industrial Giants,0.6813587406793703,0
CIV,Côte d’Ivoire,2020,13.54,10.65,2.59,Very Low,Green Leaders,-0.1648163490748412,0
